,Asymmetric Loss,Asymmetric Loss,Asymmetric Loss,Asymmetric Loss,Asymmetric Loss,Asymmetric Loss,MAE,MAE,MAE,MAE,MAE,MAE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RPE (%),RPE (%),RPE (%),RPE (%),RPE (%),RPE (%),R²,R²,R²,R²,R²,R²
Model,RAW Dual LSTM,RAW Single LSTM,FFT Dual LSTM,FFT Single LSTM,RAW GRU,FFT GRU,RAW Dual LSTM,RAW Single LSTM,FFT Dual LSTM,FFT Single LSTM,RAW GRU,FFT GRU,RAW Dual LSTM,RAW Single LSTM,FFT Dual LSTM,FFT Single LSTM,RAW GRU,FFT GRU,RAW Dual LSTM,RAW Single LSTM,FFT Dual LSTM,FFT Single LSTM,RAW GRU,FFT GRU,RAW Dual LSTM,RAW Single LSTM,FFT Dual LSTM,FFT Single LSTM,RAW GRU,FFT GRU
Cycle_Time_Before_Failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392275,0.012845814393883093,0.012966370773491331,0.0002686648562509085,0.00045078129942120515,0.013076990836267992,0.0003345907460596943,0.16273613295161907,0.16375307961828572,0.0034339274602490553,0.005084096927671754,0.16570297180876195,0.004084217362786257,0.32957818652373416,0.32815764553996696,0.006759147076541905,0.006944790770321322,0.3310531980390465,0.007762194395311526,250.75994069118877,250.13530990503168,3.698373605082744,4.534398947559267,251.80059897623818,6.9671455965996305,-0.32241852658912795,-0.31104337284061234,0.9994428867887334,0.9994118636843686,-0.3342818567759742,0.9992652684411856
392274,0.012870329306848519,0.012990562908645682,0.00026917855578484904,0.0004510237254732003,0.0131015113357231,0.00033512416709180715,0.1630466980908397,0.16406005782366415,0.0034404932871328966,0.005087624072848946,0.16601353683129774,0.00409096328508604,0.32989251962953897,0.3284705994419219,0.006765605890319985,0.006949983639148119,0.33136891258037077,0.007769573635539069,251.23849019632462,250.61211459950692,3.705445065130703,4.542449538281177,252.28056826817755,6.980360769824485,-0.3232327150286587,-0.31185036313638514,0.9994425432880808,0.9994117454129722,-0.3351031449950237,0.9992648226271045
392273,0.012894937967091057,0.013014847556745172,0.00026969422351623765,0.00045127597977411883,0.013126125603818572,0.00033563532961084007,0.16335845085965586,0.16436820994187382,0.00344708427044158,0.005091253697509577,0.16632528948298286,0.0040974920461685806,0.3302077538339349,0.3287844505119922,0.006772083255030305,0.006955233643427217,0.3316855322046661,0.007776954748215703,251.71886971868855,251.0907426388941,3.712543618895322,4.550539870729993,252.7623730067401,6.993602275130664,-0.3240510259425251,-0.31266144020509556,0.9994421980450464,0.9994116186445454,-0.33592859241823114,0.9992643781862749
392272,0.012919640913388167,0.013039225249473397,0.00027021187077826494,0.00045153518512845557,0.013150834179454642,0.0003361311882339913,0.16367139808352488,0.16467754271954022,0.0034537005550297597,0.0050949570635316676,0.16663823658927213,0.004103873220921303,0.3305238934504648,0.3290992030449274,0.006778579259646209,0.006960527120161641,0.3320030612445715,0.007784341011574552,252.20108977562097,251.57120450218704,3.7196694223864837,4.558667240923332,253.24602374046944,7.0068773466760215,-0.32487349072013383,-0.3134766351643119,0.9994418510463392,0.9994114857022994,-0.3367582307146715,0.9992639344967575
392271,0.012944438688653788,0.013063696522595973,0.0002707315089913001,0.00045179727263689547,0.01317563759090109,0.00033660689448196965,0.16398554664030715,0.16498806295508636,0.0034603422868663553,0.005098693519423075,0.16695238483608452,0.0041100583617307675,0.3308409428216351,0.3294148613643154,0.0067850939937396096,0.006965845451593615,0.3323215040601046,0.007791725137699074,252.68516096520943,252.05351074883234,3.7268226328141494,4.566827754848184,253.73153107970262,7.020181418496552,-0.32570014107037903,-0.3142959794483231,0.9994415022785328,0.9994113497417351,-0.3375920918619597,0.9992634929349123
392270,0.012969331839978119,0.01308826191599979,0.00027125314966373036,0.0004520608616007748,0.01320053641488015,0.0003370926176479771,0.1643009034607692,0.16529977749923078,0.0034670096130452886,0.005102449287283235,0.1672677415376924,0.004116349167822734,0.33115890631916683,0.32973142982283093,0.006791627547486184,0.006971182417342074,0.33264086504576584,0.007799139777479732,253.1710939670656,252.53767201950308,3.7340034085999196,4.575020207169665,254.21890577408664,7.033544941460898,-0.3265310090257134,-0.3151195048121753,0.9994411517280637,0.9994112118173768,-0.3384302082055275,0.9992630473273556
392269,0.01299432091866787,0.013112921973732716,0.00027177680439281087,0.00045232518054724583,0.013225531188084564,0.0003375710435813721,0.1646174755290944,0.16561269325549136,0.0034737026817963416,0.0051062166797297285,0.16758431348670524,0.004122572544594593,0.3314777883442485,0.33004891280248805,0.006798180011670607,0.006976534583911712,0.33296114862051646,0.007806565753606572,253.65889954311007,253.0236990368817,3.741211909388722,4.583244002936401,254.70815859831418,7.0469508892243375,-0.3273661269462882,-0.3159472433357746,0.9994407993812291,0.9994110725109346,-0.33927261238005735,0.9992626013004504
392268,0.013019406480286919,0.01313767724404376,0.0002723024848655243,0.0004525915165144997,0.013250622436498011,0.00033809767590533744,0.16493526988339768,0.165926817180695,0.003480421642496141,0.005110008588201159,0.16790210733513516,0.004129283516634428,0.331797593327792,0.3303673147148948,0.006804751477691856,0.006981907811664029,0.3332823592314474,0.00781405920156407,254.14858853836705,253.51160260645105,3.748448296060654,4.591500606423705,255.19930039097494,7.060455049551656,-0.3282055275241538,-0.31677922742805253,0.9994404452241857,0.9994109308345661,-0.34011933734123256,0.9992621442524465
392267,0.013044589084697533,0.013162528279423706,0.00027283020285944967,0.0004528587684760459,0.013275810660409417,0.0003385667903721537,0.1652542936162476,0.16624215628549321,0.003487166645679273,0.005113814031201548,0.1682211293996132,0.004135424957558137,0.33211832573069133,0.33068664000151066,0.00681134203756856,0.006987297186260423,0.3336045013523091,0.007821513053624605,254.64017188176808,254.00139361729518,3.7557127307429425,4.599789095971039,255.6923420358318,7.073951997322106,-0.32904924378752454,-0.3176154898311925,0.9994400892429474,0.9994107876196381,-0.34097041635615577,0.9992616964069057
392266,0.013069869296101985,0.01318747563664621,0.0002733599702436428,0.00045312780805957005,0.013301096468362741,0.00033909579931208785,0.1655745538751938,0.16655871763488372,0.0034939378430495238,0.005117641747766987,0.16854138740232563,0.004142170928349513,0.3324399900440839,0.3310068931339069,0.006817951783944416,0.0069927066829808746,0.33392757949925783,0.007829048849917832,255.1336605869653,254.49308304291014,3.7630053768220546,4.608110523341856,256.1872946366765,7.087559428384868,-0.32989730910511383,-0.3184560636249285,0.9994397314233836,0.9994106421972345,-0.3418258831321985,0.999261234815887
392265,0.013095247683084708,0.013212519876809383,0.0002738917989795254,0.00045339848611521317,0.013326480443748652,0.0003395851611133006,0.16589605786330097,0.16687650834873788,0.0035007353874912544,0.005121490272568092,0.16886288873708744,0.00414852612470817,0.33276259078961457,0.33132807861402935,0.006824580810093658,0.006998135676994975,0.334251598215665,0.007836565787818111,255.62906575315364,254.98668194202256,3.77032639895595,4.616464921247191,256.6841693447089,7.101178104315579,-0.33074975719053046,-0.3193009822309034,0.9994393717512176,0.9994104946747886,-0.34268577169711545,0.9992607785097741
392264,0.013120724818654908,0.013237661565377862,0.00027442570112178565,0.0004536707556765546,0.013351963189466796,0.0003400760135672245,0.16621881283968873,0.16719553560233463,0.003507559433080906,0.0051253591619883025,0.1691856410498055,0.004154901926120856,0.33308613251970254,0.3316502009744643,0.006831229209926583,0.007003584005579091,0.334576562077546,0.007844104319707678,256.12639856590295,255.48220145941949,3.7776759630864674,4.62485242596697,257.1829774173639,7.114849457345432,-0.3316066221067464,-0.3201502794170974,0.9994390102120242,0.9994103450816302,-0.3435501164450345,0.999260319852899
392263,0.013146301280289714,0.013262901272225357,0.00027496168881928915,0.00045394337567646395,0.013377545268123296,0.0003405697151357269,0.16654282612007798,0.16751580662690058,0.0035144101350986414,0.005129236035351561,0.16950965146120864,0.004161311949414061,0.3334106198178115,0.33197326477870726,0.00683789707799514,0.0070090461644671306,0.3349024756869286,0.007851666057293111,256.6256702980003,255.97965282678678,3.7850542364518716,4.633271981486438,257.6837301413744,7.128575145738685,-0.33246793827063637,-0.3210039893023282,0.9994386467912283,0.9994101943459348,-0.34441895208560114,0.9992598585425926
392262,0.013171977649977778,0.01328823957167773,0.0002754997743160001,0.00045421622093048047,0.013403227276774541,0.0003410619964539817,0.16686810507734373,0.16783732871015625,0.003521287650040127,0.005133119667514676,0.16983492753828128,0.0041677135383561634,0.3337360572987221,0.33229727462143416,0.006844584509498577,0.0070145216534081385,0.335229343680748,0.00785924631240525,257.126892310301,256.4790473635578,3.7924613875995266,4.641723648769189,258.186438930713,7.142351202775356,-0.3333337404575829,-0.321862146360818,0.9994382814741026,0.9994100425521428,-0.3452923137178847,0.999259395463831
392261,0.013197754514263452,0.013313677042556529,0.0002760399699519138,0.00045448850820236443,0.013429009802093701,0.0003415334100470834,0.16719465714207435,0.1681601091968689,0.003528192135628441,0.005137002255098037,0.17016147671154602,0.004173912270784312,0.3340624496088074,0.33262223512877626,0.006851291600289154,0.007020007018927454,0.33555717072594804,0.007866821469605286,257.6300760525913,256.9803964777722,3.7998975863987408,4.650206832394227,258.6911152691293,7.15615848748668,-0.33420406380615897,-0.32272478542683225,0.9994379142457657,0.9994098902809558,-0.34617023679352954,0.999258935066255
392260,0.01322363246429142,0.013339214268223086,0.0002765822881640001,0.0004547602735072197,0.013454893435355286,0.0003420249331080989,0.16752248980313728,0.16848415548941176,0.0035351237508261394,0.005140884184872297,0.17048930646980395,0.004180317913752455,0.3343898014263121,0.33294815095859726,0.006858018446877907,0.007025502478746054,0.33588596152148464,0.007874441314892004,258.13523306445904,257.4837116669444,3.807363004053749,4.658721757408753,259.1977707304412,7.170038280192939,-0.3350789438228796,-0.323591941699394,0.9994375450911801,0.9994097374949078,-0.3470527571353992,0.9992584679690327
392259,0.013249612095851914,0.01336485183662311,0.0002771267414871576,0.0004550331875192706,0.013480878787596413,0.0003425481260741728,0.1678516106082515,0.16880947504833005,0.0035420826558474503,0.0051447821852362175,0.17081842455717094,0.004187046098622045,0.3347181174616335,0.3332750268007735,0.006864765146440483,0.0070310156075581946,0.33621572080034384,0.007882115357092167,258.64237497617705,257.98900451894224,3.8148578131168467,4.667270284490267,259.7064169990669,7.184002450035841,-0.33595841638703305,-0.32446365074706907,0.99943717399515,0.9994095829209667,-0.3479399109563597,0.9992579923871269
392258,0.013275694009426426,0.013390590340331793,0.00027767334255517957,0.0004553059055232714,0.013506966504957104,0.00034296826953983373,0.1681820271645669,0.1691360753929134,0.003549069012170621,0.005148682840433923,0.171148839172441,0.004192749799013806,0.3350474024576068,0.3336028673774781,0.006871531796823039,0.007036540418991995,0.3365464533315712,0.007889675107854413,259.15151350959474,258.4962867128772,3.8223821875016926,4.6758512613827525,260.21706589079736,7.197916602797252,-0.33684251775558427,-0.325339948512831,0.9994368009423196,0.999409427565036,-0.34883173487818264,0.9992575400390137
392257,0.013301878810233973,0.013416430376599486,0.0002782221041017313,0.0004555756468162419,0.013533157193148128,0.000343379157187814,0.1685137471392505,0.16946396410177514,0.0035560829825504047,0.005152558379644266,0.17148055798737677,0.004198366893478259,0.33537766118979223,0.33393167744346663,0.006878318496548201,0.0070420644185641935,0.33687816391188935,0.00789723917544432,259.6626604790417,259.0055700200032,3.829936302496755,4.6844621018202695,260.7297292554735,7.211874837190132,-0.33773128456815704,-0.3262208713189969,0.9994364259171705,0.9994092735227207,-0.3497282658670411,0.9992570885832749
392256,0.013328167108277911,0.013442372547397882,0.0002787730389613387,0.0004558422411822399,0.013559451447462812,0.0003438622744488913,0.16884677826007907,0.1697931488134387,0.0035631247310307025,0.005156407128910889,0.17181358853675893,0.004204712174455443,0.3357088984667665,0.33426146178636734,0.00688512534482108,0.007047586816724604,0.3372108573694447,0.007904930605797736,260.1758277922413,259.5168663046277,3.837520334778927,4.693102830734764,261.24441901684787,7.225958945778628,-0.33862475385209656,-0.32710645587224874,0.9994360489040199,0.9994091209224462,-0.3506295412663534,0.9992566148746531
392255,0.013354559518393313,0.013468417459466761,0.00027932616007038895,0.00045610706318721927,0.01358584985267392,0.00034433714907596154,0.16918112831603963,0.17012363722693066,0.00357019442295735,0.005160242857341268,0.17214793821702976,0.004210981047817459,0.33604111913041645,0.3345922252269738,0.006891952441535381,0.007053113878220736,0.3375445385640946,0.007912631946492726,260.6910274512359,260.0301875250329,3.845134462427298,4.701775018890984,261.7611471733169,7.240088784956758,-0.3395229630276102,-0.32799673926872774,0.9994356698870183,0.9994089687100233,-0.3515355988019315,0.9992561410170177
392254,0.013381056660294885,0.01349456572436132,0.00027988148046814324,0.0004563702872069091,0.01361235301346126,0.0003448416084113055,0.1695168051579365,0.17045543710238095,0.0035772922249910633,0.005164067336182901,0.17248361468174606,0.0042175517854870755,0.3363743280562367,0.3349239726195406,0.006898799887279541,0.007058646436267223,0.3378792123911818,0.00792039048613673,261.20827155332165,260.54554573440794,3.8527788649370938,4.710479038809256,262.27992583834333,7.254302500235005,-0.3404259499129947,-0.32889175899921685,0.9994352888501471,0.9994088167432159,-0.35244647661509876,0.9992556581203823
392253,0.013407659158625495,0.013520817958499987,0.00028043901329776106,0.00045663372898151395,0.013638961569905935,0.00034542244544332194,0.16985381669900596,0.17078855626163023,0.0035844183051205276,0.005167898745219121,0.17282062604294238,0.004224892326892429,0.33670853015362956,0.335256708852083,0.006905667783342968,0.0070641928691642,0.3382148837835886,0.007928239760331,261.7275722919963,261.06295308179244,3.86045372323378,4.71921690542043,262.80076726148127,7.268647206410769,-0.3413337527299394,-0.32979155295439955,0.9994349057772166,0.9994086636168282,-0.35336221328204465,0.9992551598904759
